gene_id,disease_id,source_gwas_year,source_gwas_gene,hop
7364,D015212,2013,8854,1
7365,D015212,2013,8854,1
7366,D015212,2013,8854,1
7367,D015212,2013,8854,1
7409,D015212,2012,4790,1
7410,D015212,2012,4790,1
7412,D015212,2012,4790,1
7422,D015212,2008,6774,1
7423,D015212,2008,6774,1
7424,D015212,2008,6774,1
7430,D015212,2012,5579,1
7431,D015212,2012,4790,1
7433,D015212,2016,2776,1
7434,D015212,2016,2776,1
7442,D015212,2017,815,1
7494,D015212,2016,2081,1
7498,D015212,2008,144811,1
7535,D015212,2016,6464,1
7849,D015212,2012,5579,1
7850,D015212,2012,4790,1
7852,D015212,2011,2768,1
7855,D015212,2016,2776,1
7941,D015212,2015,5321,1
7976,D015212,2016,2776,1
8027,D015212,2012,3717,1
8061,D015212,2015,4772,1
8202,D015212,2016,6198,1
8315,D015212,2012,8844,1
8321,D015212,2016,2776,1
8322,D015212,2016,2776,1
8323,D015212,2016,2776,1
8324,D015212,2016,2776,1
8325,D015212,2016,2776,1
8326,D015212,2016,2776,1
8379,D015212,2017,51343,1
8394,D015212,2017,5336,1
8395,D015212,2017,5336,1
8396,D015212,2017,5336,1
8398,D015212,2012,5579,1
8399,D015212,2012,9415,1
8439,D015212,2016,7132,1
8458,D015212,2012,5579,1
8471,D015212,2012,3717,1
8503,D015212,2012,3460,1
8517,D015212,2012,1326,1
8525,D015212,2017,5336,1
8526,D015212,2017,5336,1
8527,D015212,2017,5336,1
8529,D015212,2015,5321,1
8549,D015212,2012,84870,1
8560,D015212,2015,2581,1
8600,D015212,2008,6774,1
8605,D015212,2011,2768,1
8608,D015212,2013,8854,1
8611,D015212,2015,2581,1
8612,D015212,2015,2581,1
8613,D015212,2015,2581,1
8625,D015212,2010,4261,1
8630,D015212,2013,8854,1
8650,D015212,2015,4851,1
8651,D015212,2008,6774,1
8654,D015212,2012,114,1
8660,D015212,2012,3717,1
8681,D015212,2011,2768,1
8697,D015212,2017,51343,1
8698,D015212,2011,2768,1
8702,D015212,2010,2524,1
8703,D015212,2010,2524,1
8704,D015212,2010,2524,1
8707,D015212,2010,2524,1
8708,D015212,2010,2524,1
8717,D015212,2016,7132,1
8718,D015212,2008,9966,1
8737,D015212,2008,6774,1
8740,D015212,2015,4055,1
8743,D015212,2012,3460,1
8767,D015212,2006,64127,1
8772,D015212,2016,355,1
8776,D015212,2017,5336,1
8792,D015212,2009,2212,1
8835,D015212,2008,6774,1
8837,D015212,2012,4790,1
8867,D015212,2017,5336,1
8871,D015212,2017,5336,1
8877,D015212,2012,5579,1
8878,D015212,2015,23048,1
8881,D015212,2017,51343,1
8897,D015212,2017,5336,1
8898,D015212,2017,5336,1
8911,D015212,2015,10125,1
8912,D015212,2015,10125,1
8913,D015212,2015,10125,1
8915,D015212,2010,64170,1
8945,D015212,2017,8454,1
8973,D015212,2012,3717,1
8985,D015212,2016,9739,1
9001,D015212,2020,2562,1
9002,D015212,2016,2776,1
9020,D015212,2012,1326,1
9021,D015212,2008,6774,1
9047,D015212,2017,5336,1
9060,D015212,2015,6821,1
